2023-01-03,380.82,383.76,379.38,388.08,387.86,390.58,395.52,396.96,398.50,397.77,391.49,388.64,395.88,400.63,400.20,400.35,404.75,405.68,400.59,406.48,0,0,1
2023-01-04,383.76,379.38,388.08,387.86,390.58,395.52,396.96,398.50,397.77,391.49,388.64,395.88,400.63,400.20,400.35,404.75,405.68,400.59,406.48,410.80,0,0,1
2023-01-05,379.38,388.08,387.86,390.58,395.52,396.96,398.50,397.77,391.49,388.64,395.88,400.63,400.20,400.35,404.75,405.68,400.59,406.48,410.80,416.78,0,0,1
2023-01-06,388.08,387.86,390.58,395.52,396.96,398.50,397.77,391.49,388.64,395.88,400.63,400.20,400.35,404.75,405.68,400.59,406.48,410.80,416.78,412.35,0,1,0
2023-01-09,387.86,390.58,395.52,396.96,398.50,397.77,391.49,388.64,395.88,400.63,400.20,400.35,404.75,405.68,400.59,406.48,410.80,416.78,412.35,409.83,0,0,1
2023-01-10,390.58,395.52,396.96,398.50,397.77,391.49,388.64,395.88,400.63,400.20,400.35,404.75,405.68,400.59,406.48,410.80,416.78,412.35,409.83,415.19,0,0,1
2023-01-11,395.52,396.96,398.50,397.77,391.49,388.64,395.88,400.63,400.20,400.35,404.75,405.68,400.59,406.48,410.80,416.78,412.35,409.83,415.19,410.65,0,0,1
2023-01-12,396.96,398.50,397.77,391.49,388.64,395.88,400.63,400.20,400.35,404.75,405.68,400.59,406.48,410.80,416.78,412.35,409.83,415.19,410.65,407.09,0,0,1
2023-01-13,398.50,397.77,391.49,388.64,395.88,400.63,400.20,400.35,404.75,405.68,400.59,406.48,410.80,416.78,412.35,409.83,415.19,410.65,407.09,408.04,0,0,1
2023-01-17,397.77,391.49,388.64,395.88,400.63,400.20,400.35,404.75,405.68,400.59,406.48,410.80,416.78,412.35,409.83,415.19,410.65,407.09,408.04,412.83,0,0,1
2023-01-18,391.49,388.64,395.88,400.63,400.20,400.35,404.75,405.68,400.59,406.48,410.80,416.78,412.35,409.83,415.19,410.65,407.09,408.04,412.83,412.64,0,0,1
2023-01-19,388.64,395.88,400.63,400.20,400.35,404.75,405.68,400.59,406.48,410.80,416.78,412.35,409.83,415.19,410.65,407.09,408.04,412.83,412.64,413.98,0,0,1
2023-01-20,395.88,400.63,400.20,400.35,404.75,405.68,400.59,406.48,410.80,416.78,412.35,409.83,415.19,410.65,407.09,408.04,412.83,412.64,413.98,408.28,0,0,1
2023-01-23,400.63,400.20,400.35,404.75,405.68,400.59,406.48,410.80,416.78,412.35,409.83,415.19,410.65,407.09,408.04,412.83,412.64,413.98,408.28,407.26,0,0,1
2023-01-24,400.20,400.35,404.75,405.68,400.59,406.48,410.80,416.78,412.35,409.83,415.19,410.65,407.09,408.04,412.83,412.64,413.98,408.28,407.26,399.09,0,0,1
2023-01-25,400.35,404.75,405.68,400.59,406.48,410.80,416.78,412.35,409.83,415.19,410.65,407.09,408.04,412.83,412.64,413.98,408.28,407.26,399.09,398.54,0,0,1
2023-01-26,404.75,405.68,400.59,406.48,410.80,416.78,412.35,409.83,415.19,410.65,407.09,408.04,412.83,412.64,413.98,408.28,407.26,399.09,398.54,400.66,0,0,1
2023-01-27,405.68,400.59,406.48,410.80,416.78,412.35,409.83,415.19,410.65,407.09,408.04,412.83,412.64,413.98,408.28,407.26,399.09,398.54,400.66,396.38,0,0,1
2023-01-30,400.59,406.48,410.80,416.78,412.35,409.83,415.19,410.65,407.09,408.04,412.83,412.64,413.98,408.28,407.26,399.09,398.54,400.66,396.38,397.73,0,0,1
2023-01-31,406.48,410.80,416.78,412.35,409.83,415.19,410.65,407.09,408.04,412.83,412.64,413.98,408.28,407.26,399.09,398.54,400.66,396.38,397.73,396.26,0,0,1
