Date,Open,High,Low,Close,Adj Close,Volume
2013-10-03,168.7899932861328,168.94000244140625,166.83999633789062,167.6199951171875,139.70814514160156,176698000
2013-10-04,167.75,169.05999755859375,167.52999877929688,168.88999938964844,140.76666259765625,96878000
2013-10-07,167.4199981689453,168.4499969482422,167.25,167.42999267578125,139.5497283935547,96295000
2013-10-08,167.39999389648438,167.6199951171875,165.36000061035156,165.47999572753906,137.92453002929688,178015000
2013-10-09,165.8000030517578,166.1999969482422,164.52999877929688,165.60000610351562,138.02450561523438,168973000
2013-10-10,167.2899932861328,169.25999450683594,167.22999572753906,169.1699981689453,141.0000457763672,195955000
2013-10-11,168.91000366210938,170.32000732421875,168.77000427246094,170.25999450683594,141.9085235595703,105040000
2013-10-14,169.2100067138672,171.0800018310547,169.0800018310547,170.94000244140625,142.47532653808594,112106000
2013-10-15,170.50999450683594,171.14999389648438,169.47000122070312,169.6999969482422,141.44178771972656,155485000
2013-10-16,170.72000122070312,172.16000366210938,170.63999938964844,172.07000732421875,143.41712951660156,161676000
2013-10-17,171.3699951171875,173.32000732421875,171.33999633789062,173.22000122070312,144.37564086914062,129389000
2013-10-18,173.86000061035156,174.50999450683594,173.50999450683594,174.38999938964844,145.35081481933594,138316000
2013-10-21,174.4499969482422,174.75,174.00999450683594,174.39999389648438,145.35914611816406,104104000
2013-10-22,174.91000366210938,175.92999267578125,174.42999267578125,175.41000366210938,146.20094299316406,126663000
2013-10-23,174.80999755859375,174.88999938964844,173.9600067138672,174.57000732421875,145.50083923339844,105484000
2013-10-24,174.9199981689453,175.3699951171875,174.50999450683594,175.14999389648438,145.98428344726562,70350000
2013-10-25,175.50999450683594,176.0,175.1699981689453,175.9499969482422,146.6510009765625,93625000
2013-10-28,175.88999938964844,176.47000122070312,175.6999969482422,176.22999572753906,146.8843994140625,84979000
2013-10-29,176.6300048828125,177.24000549316406,176.3800048828125,177.1699981689453,147.6678924560547,87401000
2013-10-30,177.3800048828125,177.50999450683594,175.66000366210938,176.2899932861328,146.93446350097656,140002000
2013-10-31,176.14999389648438,176.88999938964844,175.52999877929688,175.7899932861328,146.51768493652344,133795000
2013-11-01,176.02000427246094,176.61000061035156,175.22000122070312,176.2100067138672,146.86776733398438,142805000
2013-11-04,176.69000244140625,176.89999389648438,175.97999572753906,176.8300018310547,147.38450622558594,85677000
2013-11-05,176.13999938964844,176.75,175.57000732421875,176.27000427246094,146.9177703857422,85825000
2013-11-06,177.02999877929688,177.5,176.5399932861328,177.1699981689453,147.6678924560547,87348000
2013-11-07,177.5,177.63999938964844,174.75999450683594,174.92999267578125,145.8009033203125,157000000
2013-11-08,174.8699951171875,177.30999755859375,174.85000610351562,177.2899932861328,147.7678680419922,136713000
2013-11-11,177.1199951171875,177.52999877929688,176.91000366210938,177.32000732421875,147.7928924560547,62614000
2013-11-12,176.94000244140625,177.36000061035156,176.3699951171875,176.9600067138672,147.49290466308594,83990000
2013-11-13,176.08999633789062,178.42999267578125,176.08999633789062,178.3800048828125,148.67640686035156,103844000
2013-11-14,178.5399932861328,179.4199981689453,178.25,179.27000427246094,149.4181671142578,103435000
2013-11-15,179.55999755859375,180.1199951171875,179.3300018310547,180.0500030517578,150.0683135986328,102818000
2013-11-18,180.35000610351562,180.5,179.02000427246094,179.4199981689453,149.54324340820312,104796000
2013-11-19,179.3300018310547,179.8699951171875,178.72000122070312,179.02999877929688,149.21817016601562,93891000
2013-11-20,179.38999938964844,179.92999267578125,177.97999572753906,178.47000122070312,148.7514190673828,124909000
2013-11-21,178.97000122070312,180.0500030517578,178.86000061035156,179.91000366210938,149.95166015625,92841000
2013-11-22,179.97999572753906,180.8300018310547,179.77000427246094,180.80999755859375,150.70176696777344,81296000
2013-11-25,181.1300048828125,181.1699981689453,180.3699951171875,180.6300048828125,150.5517120361328,79486000
2013-11-26,180.72000122070312,181.22000122070312,180.41000366210938,180.67999267578125,150.59339904785156,86994000
2013-11-27,180.8699951171875,181.24000549316406,180.64999389648438,181.1199951171875,150.96014404296875,58800000
2013-11-29,181.32000732421875,181.75,180.8000030517578,181.0,150.86012268066406,55870900
